TimeGenerated,InitiatingProcessAccountName,InitiatingProcessCommandLine,FolderPath,FileName,DeviceName
"Sep 15, 2026 1:01:06 AM",system,,C:\ProgramData\Microsoft\Diagnosis\ETLLogs\ShutdownLogger\Diagtrack-Listener.etl.001,Diagtrack-Listener.etl.001,sql-labuser
"Sep 15, 2026 12:36:50 AM",system,"""powershell.exe"" -noninteractive -outputFormat xml -NonInteractive -encodedCommand IABbAEUAbgB2AGkAcgBvAG4AbQBlAG4AdABdADoAOgBPAFMAVgBlAHIAcwBpAG8AbgAuAFYAZQByAHMAaQBvAG4AIAA= -inputFormat xml",C:\Windows\SystemTemp\__PSScriptPolicyTest_bgvj3s3r.uiq.psm1,__PSScriptPolicyTest_bgvj3s3r.uiq.psm1,sql-labuser
"Sep 15, 2026 12:36:44 AM",system,"""powershell.exe"" -noninteractive -outputFormat xml -NonInteractive -encodedCommand IABbAEUAbgB2AGkAcgBvAG4AbQBlAG4AdABdADoAOgBPAFMAVgBlAHIAcwBpAG8AbgAuAFYAZQByAHMAaQBvAG4AIAA= -inputFormat xml",C:\Windows\SystemTemp\__PSScriptPolicyTest_lwnk22df.oyo.psm1,__PSScriptPolicyTest_lwnk22df.oyo.psm1,sql-labuser
"Sep 15, 2026 12:36:33 AM",system,gc_worker.exe -a WindowsDefenderExploitGuard -c NonCompliant -s inguest -g https://eastus2-gas.guestconfiguration.azure.com/virtualMachines/834a8374-a5e8-436d-91db-416d47cedad2,C:\Windows\SystemTemp\__PSScriptPolicyTest_ejmgghw1.ok3.psm1,__PSScriptPolicyTest_ejmgghw1.ok3.psm1,sql-labuser
"Sep 15, 2026 12:36:11 AM",system,gc_worker.exe -a AzureWindowsVMEncryptionCompliance -c NonCompliant -s inguest -g https://eastus2-gas.guestconfiguration.azure.com/virtualMachines/834a8374-a5e8-436d-91db-416d47cedad2,C:\Windows\SystemTemp\__PSScriptPolicyTest_kvdn5iwj.2cg.psm1,__PSScriptPolicyTest_kvdn5iwj.2cg.psm1,sql-labuser
"Sep 15, 2026 12:35:55 AM",system,gc_worker.exe -a AuditSecureProtocol -c NonCompliant -s inguest -g https://eastus2-gas.guestconfiguration.azure.com/virtualMachines/834a8374-a5e8-436d-91db-416d47cedad2,C:\Windows\SystemTemp\__PSScriptPolicyTest_1r3hs3at.h4y.psm1,__PSScriptPolicyTest_1r3hs3at.h4y.psm1,sql-labuser
"Sep 15, 2026 12:35:40 AM",system,"secedit.exe /export /cfg ""C:\Windows\system32\config\systemprofile\AppData\Local\AzureSecurityPack\secedit.inf""",C:\Windows\System32\config\systemprofile\AppData\Local\AzureSecurityPack\secedit.inf,secedit.inf,sql-labuser
"Sep 15, 2026 12:35:26 AM",system,"""CollectGuestLogs.exe"" -Mode:ga -FileName:C:\WindowsAzure\CollectGuestLogsTemp\VMAgentLogs.zip",C:\WindowsAzure\CollectGuestLogsTemp\VMAgentLogs.zip,VMAgentLogs.zip,sql-labuser
"Sep 15, 2026 12:25:18 AM",system,"powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {if ($ExecutionContext.SessionState.LanguageMode -eq 'FullLanguage') {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8}else {chcp 65001}; &  'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8839.16685300.0.16685300-f8c8ffbe8abad62c9ee2ee38b06bf26edb5be29d\53159fd8-6386-48c2-91e8-cf4860599c43.ps1' }""",C:\Windows\SystemTemp\iy5hlvvu\iy5hlvvu.dll,iy5hlvvu.dll,sql-labuser
"Sep 15, 2026 12:25:05 AM",system,"powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {if ($ExecutionContext.SessionState.LanguageMode -eq 'FullLanguage') {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8}else {chcp 65001}; &  'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8839.16685300.0.16685300-f8c8ffbe8abad62c9ee2ee38b06bf26edb5be29d\53159fd8-6386-48c2-91e8-cf4860599c43.ps1' }""",C:\Windows\SystemTemp\__PSScriptPolicyTest_l3rxx4jz.hjh.psm1,__PSScriptPolicyTest_l3rxx4jz.hjh.psm1,sql-labuser
"Sep 15, 2026 12:23:15 AM",system,"powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {if ($ExecutionContext.SessionState.LanguageMode -eq 'FullLanguage') {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8}else {chcp 65001}; &  'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8839.16685300.0.16685300-f8c8ffbe8abad62c9ee2ee38b06bf26edb5be29d\fc19515e-4fbb-46d1-b1f4-a28b394632fe.ps1' }""",C:\Windows\SystemTemp\__PSScriptPolicyTest_etwznpdy.3rl.psm1,__PSScriptPolicyTest_etwznpdy.3rl.psm1,sql-labuser
"Sep 15, 2026 12:21:24 AM",system,"powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {if ($ExecutionContext.SessionState.LanguageMode -eq 'FullLanguage') {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8}else {chcp 65001}; &  'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8839.16685300.0.16685300-f8c8ffbe8abad62c9ee2ee38b06bf26edb5be29d\149ae17f-1c51-47e8-90b8-8175a782d62b.ps1' }""",C:\Windows\SystemTemp\__PSScriptPolicyTest_jed4wydb.rkk.psm1,__PSScriptPolicyTest_jed4wydb.rkk.psm1,sql-labuser
"Sep 15, 2026 12:19:45 AM",system,"powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {if ($ExecutionContext.SessionState.LanguageMode -eq 'FullLanguage') {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8}else {chcp 65001}; &  'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8839.16685300.0.16685300-f8c8ffbe8abad62c9ee2ee38b06bf26edb5be29d\cb7aec68-dfca-4632-88ad-5b019cb0957d.ps1' }""",C:\Windows\SystemTemp\__PSScriptPolicyTest_ex2a5f3p.bo0.psm1,__PSScriptPolicyTest_ex2a5f3p.bo0.psm1,sql-labuser
"Sep 15, 2026 12:11:15 AM",system,"powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {if ($ExecutionContext.SessionState.LanguageMode -eq 'FullLanguage') {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8}else {chcp 65001}; &  'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8839.16685300.0.16685300-f8c8ffbe8abad62c9ee2ee38b06bf26edb5be29d\a391f42c-7e1a-4611-8494-1817d2420e09.ps1' }""",C:\Windows\SystemTemp\__PSScriptPolicyTest_3nernruf.hzs.psm1,__PSScriptPolicyTest_3nernruf.hzs.psm1,sql-labuser
"Sep 14, 2026 11:36:28 PM",system,"""powershell.exe"" -noninteractive -outputFormat xml -NonInteractive -encodedCommand IABbAEUAbgB2AGkAcgBvAG4AbQBlAG4AdABdADoAOgBPAFMAVgBlAHIAcwBpAG8AbgAuAFYAZQByAHMAaQBvAG4AIAA= -inputFormat xml",C:\Windows\SystemTemp\__PSScriptPolicyTest_itfmrpw2.mpz.psm1,__PSScriptPolicyTest_itfmrpw2.mpz.psm1,sql-labuser
"Sep 14, 2026 11:36:23 PM",system,"""powershell.exe"" -noninteractive -outputFormat xml -NonInteractive -encodedCommand IABbAEUAbgB2AGkAcgBvAG4AbQBlAG4AdABdADoAOgBPAFMAVgBlAHIAcwBpAG8AbgAuAFYAZQByAHMAaQBvAG4AIAA= -inputFormat xml",C:\Windows\SystemTemp\__PSScriptPolicyTest_feyivmiz.pen.psm1,__PSScriptPolicyTest_feyivmiz.pen.psm1,sql-labuser
"Sep 14, 2026 11:36:12 PM",system,gc_worker.exe -a WindowsDefenderExploitGuard -c NonCompliant -s inguest -g https://eastus2-gas.guestconfiguration.azure.com/virtualMachines/834a8374-a5e8-436d-91db-416d47cedad2,C:\Windows\SystemTemp\__PSScriptPolicyTest_oyd0xevo.3ic.psm1,__PSScriptPolicyTest_oyd0xevo.3ic.psm1,sql-labuser
"Sep 14, 2026 11:35:54 PM",system,gc_worker.exe -a AzureWindowsVMEncryptionCompliance -c NonCompliant -s inguest -g https://eastus2-gas.guestconfiguration.azure.com/virtualMachines/834a8374-a5e8-436d-91db-416d47cedad2,C:\Windows\SystemTemp\__PSScriptPolicyTest_0tdxz5id.yv0.psm1,__PSScriptPolicyTest_0tdxz5id.yv0.psm1,sql-labuser
"Sep 14, 2026 11:35:38 PM",system,gc_worker.exe -a AuditSecureProtocol -c NonCompliant -s inguest -g https://eastus2-gas.guestconfiguration.azure.com/virtualMachines/834a8374-a5e8-436d-91db-416d47cedad2,C:\Windows\SystemTemp\__PSScriptPolicyTest_sv5fntky.qol.psm1,__PSScriptPolicyTest_sv5fntky.qol.psm1,sql-labuser
"Sep 14, 2026 11:35:22 PM",system,"secedit.exe /export /cfg ""C:\Windows\system32\config\systemprofile\AppData\Local\AzureSecurityPack\secedit.inf""",C:\Windows\System32\config\systemprofile\AppData\Local\AzureSecurityPack\secedit.inf,secedit.inf,sql-labuser
"Sep 14, 2026 11:34:55 PM",system,"""CollectGuestLogs.exe"" -Mode:ga -FileName:C:\WindowsAzure\CollectGuestLogsTemp\VMAgentLogs.zip",C:\WindowsAzure\CollectGuestLogsTemp\VMAgentLogs.zip,VMAgentLogs.zip,sql-labuser
"Sep 14, 2026 11:32:49 PM",system,sdbinst.exe -m -bg,C:\Windows\apppatch\MergeSdbFiles\01DA54B25CE0D000.msimain.sdb,01DA54B25CE0D000.msimain.sdb,sql-labuser
"Sep 14, 2026 11:32:49 PM",system,sdbinst.exe -m -bg,C:\Windows\apppatch\MergeSdbFiles\01DA54B25CE0D000.sysmain.sdb,01DA54B25CE0D000.sysmain.sdb,sql-labuser
"Sep 14, 2026 11:12:31 PM",system,"""csc.exe"" /noconfig /fullpaths @""C:\Windows\SystemTemp\5byvzbn2\5byvzbn2.cmdline""",C:\Windows\SystemTemp\5byvzbn2\5byvzbn2.dll,5byvzbn2.dll,sql-labuser
"Sep 14, 2026 11:12:21 PM",system,"powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {if ($ExecutionContext.SessionState.LanguageMode -eq 'FullLanguage') {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8}else {chcp 65001}; &  'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8839.16685300.0.16685300-f8c8ffbe8abad62c9ee2ee38b06bf26edb5be29d\211ef051-ecf9-4b99-9eed-76e45a831a19.ps1' }""",C:\Windows\SystemTemp\__PSScriptPolicyTest_4tyz0isz.zij.psm1,__PSScriptPolicyTest_4tyz0isz.zij.psm1,sql-labuser
"Sep 14, 2026 11:10:22 PM",system,"""csc.exe"" /noconfig /fullpaths @""C:\Windows\SystemTemp\c5mpare1\c5mpare1.cmdline""",C:\Windows\SystemTemp\c5mpare1\c5mpare1.dll,c5mpare1.dll,sql-labuser
"Sep 14, 2026 11:10:21 PM",system,"powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {if ($ExecutionContext.SessionState.LanguageMode -eq 'FullLanguage') {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8}else {chcp 65001}; &  'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8839.16685300.0.16685300-f8c8ffbe8abad62c9ee2ee38b06bf26edb5be29d\aceb19ff-8484-4db4-b8f6-f5a8d03a8c4a.ps1' }""",C:\Windows\SystemTemp\c5mpare1\c5mpare1.dll,c5mpare1.dll,sql-labuser
"Sep 14, 2026 11:10:11 PM",system,"powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {if ($ExecutionContext.SessionState.LanguageMode -eq 'FullLanguage') {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8}else {chcp 65001}; &  'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8839.16685300.0.16685300-f8c8ffbe8abad62c9ee2ee38b06bf26edb5be29d\aceb19ff-8484-4db4-b8f6-f5a8d03a8c4a.ps1' }""",C:\Windows\SystemTemp\__PSScriptPolicyTest_dikdcdx1.2ka.psm1,__PSScriptPolicyTest_dikdcdx1.2ka.psm1,sql-labuser
"Sep 14, 2026 11:05:04 PM",system,compattelrunner.exe -cv:WdDEFAaCjEqVRhLB.0.7 -wce:0000000000000220  -m:appraiser.dll -f:DoScheduledTelemetryRun ,C:\Windows\appcompat\UA\GenericError.bmp,GenericError.bmp,sql-labuser
"Sep 14, 2026 11:05:00 PM",system,powershell.exe -ExecutionPolicy Restricted -Command Write-Host 'Final result: 1';,C:\Windows\SystemTemp\__PSScriptPolicyTest_xm2dhcwo.yxz.psm1,__PSScriptPolicyTest_xm2dhcwo.yxz.psm1,sql-labuser
