TimeGenerated,RemoteIP,AccountName,DeviceName,ActionType,LogonType
"Sep 8, 2026 8:54:37 AM",-,umfd-0,sql-labuser,LogonAttempted,Unknown
"Sep 8, 2026 8:54:37 AM",,umfd-0,sql-labuser,LogonSuccess,Interactive
"Sep 8, 2026 8:54:37 AM",-,umfd-1,sql-labuser,LogonAttempted,Unknown
"Sep 8, 2026 8:54:37 AM",,umfd-1,sql-labuser,LogonSuccess,Interactive
"Sep 8, 2026 8:54:38 AM",-,dwm-1,sql-labuser,LogonAttempted,Unknown
"Sep 8, 2026 8:54:38 AM",,dwm-1,sql-labuser,LogonSuccess,Interactive
"Sep 8, 2026 8:54:38 AM",,dwm-1,sql-labuser,LogonSuccess,Interactive
"Sep 8, 2026 1:45:26 PM",-,umfd-0,sql-labuser,LogonAttempted,Unknown
"Sep 8, 2026 1:45:26 PM",,umfd-0,sql-labuser,LogonSuccess,Interactive
"Sep 8, 2026 1:45:26 PM",-,umfd-1,sql-labuser,LogonAttempted,Unknown
"Sep 8, 2026 1:45:26 PM",,umfd-1,sql-labuser,LogonSuccess,Interactive
"Sep 8, 2026 1:45:27 PM",-,dwm-1,sql-labuser,LogonAttempted,Unknown
"Sep 8, 2026 1:45:27 PM",,dwm-1,sql-labuser,LogonSuccess,Interactive
"Sep 8, 2026 1:45:27 PM",,dwm-1,sql-labuser,LogonSuccess,Interactive
"Sep 8, 2026 1:47:10 PM",,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 8, 2026 1:47:10 PM",10.0.8.7,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 8, 2026 1:47:12 PM",-,umfd-2,sql-labuser,LogonAttempted,Unknown
"Sep 8, 2026 1:47:12 PM",,umfd-2,sql-labuser,LogonSuccess,Interactive
"Sep 8, 2026 1:47:12 PM",-,dwm-2,sql-labuser,LogonAttempted,Unknown
"Sep 8, 2026 1:47:12 PM",,dwm-2,sql-labuser,LogonSuccess,Interactive
"Sep 8, 2026 1:47:12 PM",,dwm-2,sql-labuser,LogonSuccess,Interactive
"Sep 8, 2026 1:47:12 PM",,sql-labuser,sql-labuser,LogonSuccess,RemoteInteractive
"Sep 8, 2026 1:47:12 PM",10.0.8.7,sql-labuser,sql-labuser,LogonAttempted,Unknown
"Sep 8, 2026 1:47:12 PM",10.0.8.7,sql-labuser,sql-labuser,LogonSuccess,RemoteInteractive
"Sep 9, 2026 8:13:41 PM",-,umfd-0,sql-labuser,LogonAttempted,Unknown
"Sep 9, 2026 8:13:41 PM",,umfd-0,sql-labuser,LogonSuccess,Interactive
"Sep 9, 2026 8:13:41 PM",-,umfd-1,sql-labuser,LogonAttempted,Unknown
"Sep 9, 2026 8:13:41 PM",,umfd-1,sql-labuser,LogonSuccess,Interactive
"Sep 9, 2026 8:13:42 PM",-,dwm-1,sql-labuser,LogonAttempted,Unknown
"Sep 9, 2026 8:13:42 PM",,dwm-1,sql-labuser,LogonSuccess,Interactive
"Sep 9, 2026 8:13:42 PM",,dwm-1,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 8:24:37 AM",-,umfd-0,sql-labuser,LogonAttempted,Unknown
"Sep 11, 2026 8:24:37 AM",,umfd-0,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 8:24:37 AM",-,umfd-1,sql-labuser,LogonAttempted,Unknown
"Sep 11, 2026 8:24:37 AM",,umfd-1,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 8:24:38 AM",-,dwm-1,sql-labuser,LogonAttempted,Unknown
"Sep 11, 2026 8:24:38 AM",,dwm-1,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 8:24:38 AM",,dwm-1,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 8:26:36 PM",,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 11, 2026 8:26:36 PM",10.0.8.5,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 11, 2026 8:26:47 PM",10.0.8.5,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 11, 2026 8:26:50 PM",10.0.8.5,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 11, 2026 8:27:08 PM",10.0.8.9,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 11, 2026 8:28:47 PM",10.0.8.5,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 11, 2026 8:30:22 PM",-,umfd-0,sql-labuser,LogonAttempted,Unknown
"Sep 11, 2026 8:30:22 PM",,umfd-0,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 8:30:22 PM",-,umfd-1,sql-labuser,LogonAttempted,Unknown
"Sep 11, 2026 8:30:22 PM",,umfd-1,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 8:30:23 PM",-,dwm-1,sql-labuser,LogonAttempted,Unknown
"Sep 11, 2026 8:30:23 PM",,dwm-1,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 8:30:23 PM",,dwm-1,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 8:31:53 PM",,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 11, 2026 8:31:53 PM",10.0.8.4,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 11, 2026 8:32:17 PM",-,umfd-0,sql-labuser,LogonAttempted,Unknown
"Sep 11, 2026 8:32:17 PM",,umfd-0,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 8:32:17 PM",-,umfd-1,sql-labuser,LogonAttempted,Unknown
"Sep 11, 2026 8:32:17 PM",,umfd-1,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 8:32:18 PM",-,dwm-1,sql-labuser,LogonAttempted,Unknown
"Sep 11, 2026 8:32:18 PM",,dwm-1,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 8:32:18 PM",,dwm-1,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 8:34:57 PM",-,umfd-0,sql-labuser,LogonAttempted,Unknown
"Sep 11, 2026 8:34:57 PM",,umfd-0,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 8:34:57 PM",-,umfd-1,sql-labuser,LogonAttempted,Unknown
"Sep 11, 2026 8:34:57 PM",,umfd-1,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 8:34:58 PM",-,dwm-1,sql-labuser,LogonAttempted,Unknown
"Sep 11, 2026 8:34:58 PM",,dwm-1,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 8:34:58 PM",,dwm-1,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 8:43:48 PM",,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 11, 2026 8:43:48 PM",10.0.8.7,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 11, 2026 8:43:49 PM",-,umfd-2,sql-labuser,LogonAttempted,Unknown
"Sep 11, 2026 8:43:49 PM",,umfd-2,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 8:43:49 PM",-,dwm-2,sql-labuser,LogonAttempted,Unknown
"Sep 11, 2026 8:43:49 PM",,dwm-2,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 8:43:49 PM",,dwm-2,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 8:43:50 PM",,sql-labuser,sql-labuser,LogonSuccess,RemoteInteractive
"Sep 11, 2026 8:43:50 PM",10.0.8.7,sql-labuser,sql-labuser,LogonAttempted,Unknown
"Sep 11, 2026 8:43:50 PM",10.0.8.7,sql-labuser,sql-labuser,LogonSuccess,RemoteInteractive
"Sep 11, 2026 8:49:15 PM",10.0.8.7,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 11, 2026 8:49:16 PM",-,umfd-3,sql-labuser,LogonAttempted,Unknown
"Sep 11, 2026 8:49:16 PM",,umfd-3,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 8:49:16 PM",-,dwm-3,sql-labuser,LogonAttempted,Unknown
"Sep 11, 2026 8:49:16 PM",,dwm-3,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 8:49:16 PM",,dwm-3,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 8:49:16 PM",10.0.8.7,sql-labuser,sql-labuser,LogonAttempted,Unknown
"Sep 11, 2026 8:49:16 PM",10.0.8.7,sql-labuser,sql-labuser,LogonSuccess,RemoteInteractive
"Sep 11, 2026 9:01:03 PM",10.0.8.7,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 11, 2026 9:01:04 PM",-,umfd-4,sql-labuser,LogonAttempted,Unknown
"Sep 11, 2026 9:01:04 PM",,umfd-4,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 9:01:04 PM",-,dwm-4,sql-labuser,LogonAttempted,Unknown
"Sep 11, 2026 9:01:04 PM",,dwm-4,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 9:01:04 PM",,dwm-4,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 9:01:05 PM",10.0.8.7,sql-labuser,sql-labuser,LogonAttempted,Unknown
"Sep 11, 2026 9:01:05 PM",10.0.8.7,sql-labuser,sql-labuser,LogonSuccess,RemoteInteractive
"Sep 11, 2026 9:27:04 PM",10.0.8.11,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 11, 2026 9:27:05 PM",-,umfd-5,sql-labuser,LogonAttempted,Unknown
"Sep 11, 2026 9:27:05 PM",,umfd-5,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 9:27:05 PM",-,dwm-5,sql-labuser,LogonAttempted,Unknown
"Sep 11, 2026 9:27:05 PM",,dwm-5,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 9:27:05 PM",,dwm-5,sql-labuser,LogonSuccess,Interactive
"Sep 11, 2026 9:27:05 PM",10.0.8.11,sql-labuser,sql-labuser,LogonAttempted,Unknown
"Sep 11, 2026 9:27:05 PM",10.0.8.11,sql-labuser,sql-labuser,LogonSuccess,RemoteInteractive
"Sep 12, 2026 1:49:34 AM",-,umfd-0,sql-labuser,LogonAttempted,Unknown
"Sep 12, 2026 1:49:34 AM",,umfd-0,sql-labuser,LogonSuccess,Interactive
"Sep 12, 2026 1:49:34 AM",-,umfd-1,sql-labuser,LogonAttempted,Unknown
"Sep 12, 2026 1:49:34 AM",,umfd-1,sql-labuser,LogonSuccess,Interactive
"Sep 12, 2026 1:49:35 AM",-,dwm-1,sql-labuser,LogonAttempted,Unknown
"Sep 12, 2026 1:49:35 AM",,dwm-1,sql-labuser,LogonSuccess,Interactive
"Sep 12, 2026 1:49:35 AM",,dwm-1,sql-labuser,LogonSuccess,Interactive
"Sep 12, 2026 1:52:01 AM",,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 12, 2026 1:52:01 AM",10.0.8.7,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 12, 2026 1:52:02 AM",-,umfd-2,sql-labuser,LogonAttempted,Unknown
"Sep 12, 2026 1:52:02 AM",,umfd-2,sql-labuser,LogonSuccess,Interactive
"Sep 12, 2026 1:52:02 AM",-,dwm-2,sql-labuser,LogonAttempted,Unknown
