TimeGenerated,DeviceName,ActionType,RemoteIP,RemotePort,RemoteUrl,LocalIP,LocalPort,Protocol,InitiatingProcessAccountName,InitiatingProcessFileName,InitiatingProcessCommandLine
"Sep 15, 2026 1:01:20 AM",sql-labuser,ConnectionAcknowledged,4.150.223.106,443,,10.1.0.100,54342,TcpV4,,,
"Sep 15, 2026 1:01:08 AM",sql-labuser,ConnectionAcknowledged,4.150.223.107,443,,10.1.0.100,54331,TcpV4,,,
"Sep 15, 2026 12:55:54 AM",sql-labuser,SslConnectionInspected,13.89.179.12,443,,10.1.0.100,54187,Tcp,,,
"Sep 15, 2026 12:55:54 AM",sql-labuser,ConnectionAcknowledged,13.89.179.12,443,,10.1.0.100,54187,TcpV4,,,
"Sep 15, 2026 12:49:03 AM",sql-labuser,ConnectionAcknowledged,20.42.73.26,443,,10.1.0.100,53982,TcpV4,,,
"Sep 15, 2026 12:49:03 AM",sql-labuser,ConnectionSuccess,20.42.73.26,443,v20.events.data.microsoft.com,10.1.0.100,53982,Tcp,system,svchost.exe,svchost.exe -k utcsvc -p
"Sep 15, 2026 12:48:59 AM",sql-labuser,ConnectionAcknowledged,52.123.247.2,443,,10.1.0.100,53980,TcpV4,,,
"Sep 15, 2026 12:48:57 AM",sql-labuser,ConnectionSuccess,52.123.247.2,443,ecs.office.com,10.1.0.100,53980,Tcp,system,mpdefendercoreservice.exe,MpDefenderCoreService.exe
"Sep 15, 2026 12:46:59 AM",sql-labuser,ConnectionAcknowledged,4.150.223.108,443,,10.1.0.100,53924,TcpV4,,,
"Sep 15, 2026 12:44:56 AM",sql-labuser,SslConnectionInspected,4.150.223.109,443,,10.1.0.100,53868,Tcp,,,
"Sep 15, 2026 12:44:56 AM",sql-labuser,ConnectionAcknowledged,4.150.223.109,443,,10.1.0.100,53868,TcpV4,,,
"Sep 15, 2026 12:36:53 AM",sql-labuser,ConnectionAcknowledged,146.75.38.172,80,,10.1.0.100,53633,TcpV4,,,
"Sep 15, 2026 12:36:52 AM",sql-labuser,ConnectionSuccess,146.75.38.172,80,ctldl.windowsupdate.com,10.1.0.100,53633,Tcp,network service,svchost.exe,svchost.exe -k NetworkService -p
"Sep 15, 2026 12:33:10 AM",sql-labuser,SslConnectionInspected,52.159.108.190,443,,10.1.0.100,53498,Tcp,,,
"Sep 15, 2026 12:33:10 AM",sql-labuser,ConnectionAcknowledged,52.159.108.190,443,,10.1.0.100,53498,TcpV4,,,
"Sep 15, 2026 12:33:10 AM",sql-labuser,ConnectionSuccess,52.159.108.190,443,unitedstates.smartscreen.microsoft.com,10.1.0.100,53498,Tcp,local service,nissrv.exe,NisSrv.exe
"Sep 15, 2026 12:32:58 AM",sql-labuser,SslConnectionInspected,20.42.72.131,443,,10.1.0.100,53488,Tcp,,,
"Sep 15, 2026 12:32:58 AM",sql-labuser,ConnectionAcknowledged,4.150.223.113,443,,10.1.0.100,53489,TcpV4,,,
"Sep 15, 2026 12:32:58 AM",sql-labuser,ConnectionAcknowledged,20.42.72.131,443,,10.1.0.100,53488,TcpV4,,,
"Sep 15, 2026 12:32:57 AM",sql-labuser,ConnectionSuccess,20.42.72.131,443,v10.events.data.microsoft.com,10.1.0.100,53488,Tcp,system,svchost.exe,svchost.exe -k utcsvc -p
"Sep 15, 2026 12:32:47 AM",sql-labuser,ConnectionSuccess,4.150.223.105,443,,10.1.0.100,53481,Tcp,system,mpdefendercoreservice.exe,MpDefenderCoreService.exe
"Sep 15, 2026 12:21:58 AM",sql-labuser,SslConnectionInspected,4.150.223.105,443,,10.1.0.100,53172,Tcp,,,
"Sep 15, 2026 12:21:58 AM",sql-labuser,ConnectionAcknowledged,4.150.223.105,443,,10.1.0.100,53172,TcpV4,,,
"Sep 15, 2026 12:19:12 AM",sql-labuser,ConnectionSuccess,172.215.188.225,443,settings-win.data.microsoft.com,10.1.0.100,53093,Tcp,system,taskhostw.exe,taskhostw.exe ExploitGuardPolicy
"Sep 15, 2026 12:17:57 AM",sql-labuser,SslConnectionInspected,20.42.65.88,443,,10.1.0.100,53059,Tcp,,,
"Sep 15, 2026 12:17:57 AM",sql-labuser,ConnectionAcknowledged,20.42.65.88,443,,10.1.0.100,53059,TcpV4,,,
"Sep 15, 2026 12:17:57 AM",sql-labuser,ConnectionAcknowledged,52.168.117.170,443,,10.1.0.100,53058,TcpV4,,,
"Sep 15, 2026 12:17:56 AM",sql-labuser,ConnectionSuccess,20.42.65.88,443,v20.events.data.microsoft.com,10.1.0.100,53059,Tcp,system,svchost.exe,svchost.exe -k utcsvc -p
"Sep 15, 2026 12:15:06 AM",sql-labuser,SslConnectionInspected,20.42.73.31,443,,10.1.0.100,52982,Tcp,,,
"Sep 15, 2026 12:15:06 AM",sql-labuser,ConnectionAcknowledged,20.42.73.31,443,,10.1.0.100,52982,TcpV4,,,
"Sep 15, 2026 12:13:04 AM",sql-labuser,SslConnectionInspected,20.42.73.24,443,,10.1.0.100,52922,Tcp,,,
"Sep 15, 2026 12:13:04 AM",sql-labuser,ConnectionAcknowledged,20.42.73.24,443,,10.1.0.100,52922,TcpV4,,,
"Sep 15, 2026 12:05:44 AM",sql-labuser,SslConnectionInspected,172.215.188.225,443,,10.1.0.100,52704,Tcp,,,
"Sep 15, 2026 12:05:44 AM",sql-labuser,ConnectionAcknowledged,172.215.188.225,443,,10.1.0.100,52704,TcpV4,,,
"Sep 15, 2026 12:05:43 AM",sql-labuser,ConnectionSuccess,172.215.188.225,443,settings-win.data.microsoft.com,10.1.0.100,52704,Tcp,system,svchost.exe,svchost.exe -k utcsvc -p
"Sep 15, 2026 12:02:58 AM",sql-labuser,SslConnectionInspected,13.69.116.108,443,,10.1.0.100,52624,Tcp,,,
"Sep 15, 2026 12:02:58 AM",sql-labuser,ConnectionAcknowledged,13.69.116.108,443,,10.1.0.100,52624,TcpV4,,,
"Sep 15, 2026 12:02:57 AM",sql-labuser,ConnectionSuccess,4.150.223.99,443,v20.events.data.microsoft.com,10.1.0.100,52625,Tcp,system,svchost.exe,svchost.exe -k utcsvc -p
"Sep 15, 2026 12:02:56 AM",sql-labuser,ConnectionSuccess,13.69.116.108,443,v10.events.data.microsoft.com,10.1.0.100,52624,Tcp,system,svchost.exe,svchost.exe -k utcsvc -p
"Sep 15, 2026 12:02:52 AM",sql-labuser,SslConnectionInspected,20.10.127.193,443,,10.1.0.100,52623,Tcp,,,
"Sep 15, 2026 12:02:52 AM",sql-labuser,ConnectionAcknowledged,20.10.127.193,443,,10.1.0.100,52623,TcpV4,,,
