TimeGenerated,AccountName,DeviceName,ProcessCommandLine,InitiatingProcessCommandLine,FolderPath,FileName
"Sep 15, 2026 12:53:53 AM",network service,sql-labuser,"""MpCmdRun.exe"" GetDeviceTicket -AccessKey F2155991-6692-8C9C-9506-D0600CAB315A ",MsMpEng.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26080.3-0\MpCmdRun.exe,MpCmdRun.exe
"Sep 15, 2026 12:50:22 AM",system,sql-labuser,"""MicrosoftEdgeUpdate.exe"" /ua /installsource scheduler",svchost.exe -k netsvcs -p -s Schedule,C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,MicrosoftEdgeUpdate.exe
"Sep 15, 2026 12:48:12 AM",system,sql-labuser,conhost.exe 0xffffffff -ForceV1,BfeToolWin8.exe,C:\Windows\System32\conhost.exe,conhost.exe
"Sep 15, 2026 12:48:12 AM",system,sql-labuser,BfeToolWin8.exe,WindowsAzureGuestAgent.exe,C:\WindowsAzure\Packages\BfeToolWin8.exe,BfeToolWin8.exe
"Sep 15, 2026 12:44:30 AM",system,sql-labuser,"""MicrosoftEdgeUpdate.exe"" /ua /installsource core","""MicrosoftEdgeUpdate.exe"" /c",C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,MicrosoftEdgeUpdate.exe
"Sep 15, 2026 12:42:55 AM",system,sql-labuser,TiWorker.exe -Embedding,svchost.exe -k DcomLaunch -p,C:\Windows\WinSxS\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.26100.9441_none_a5253a19774da03c\TiWorker.exe,TiWorker.exe
"Sep 15, 2026 12:42:55 AM",system,sql-labuser,TrustedInstaller.exe,services.exe,C:\Windows\servicing\TrustedInstaller.exe,TrustedInstaller.exe
"Sep 15, 2026 12:40:47 AM",system,sql-labuser,"""MicrosoftEdgeUpdate.exe"" /ua /installsource scheduler",svchost.exe -k netsvcs -p -s Schedule,C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,MicrosoftEdgeUpdate.exe
"Sep 15, 2026 12:38:48 AM",network service,sql-labuser,"""MpCmdRun.exe"" GetDeviceTicket -AccessKey FD0EA63A-DA0A-64D6-63BC-2F9146925CAB ",MsMpEng.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26080.3-0\MpCmdRun.exe,MpCmdRun.exe
"Sep 15, 2026 12:37:32 AM",system,sql-labuser,"""usoclient.exe"" StartScan",svchost.exe -k netsvcs -p -s Schedule,C:\Windows\System32\UsoClient.exe,UsoClient.exe
"Sep 15, 2026 12:36:48 AM",system,sql-labuser,"""powershell.exe"" -noninteractive -outputFormat xml -NonInteractive -encodedCommand IABbAEUAbgB2AGkAcgBvAG4AbQBlAG4AdABdADoAOgBPAFMAVgBlAHIAcwBpAG8AbgAuAFYAZQByAHMAaQBvAG4AIAA= -inputFormat xml",gc_worker.exe -a WindowsDefenderExploitGuard -c NonCompliant -s inguest -g https://eastus2-gas.guestconfiguration.azure.com/virtualMachines/834a8374-a5e8-436d-91db-416d47cedad2,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe
"Sep 15, 2026 12:36:44 AM",system,sql-labuser,"""MoUsoCoreWorker.exe"" useprivatenamespaces",svchost.exe -k netsvcs -p -s UsoSvc,C:\Windows\UUS\amd64\MoUsoCoreWorker.exe,MoUsoCoreWorker.exe
"Sep 15, 2026 12:36:42 AM",system,sql-labuser,"""powershell.exe"" -noninteractive -outputFormat xml -NonInteractive -encodedCommand IABbAEUAbgB2AGkAcgBvAG4AbQBlAG4AdABdADoAOgBPAFMAVgBlAHIAcwBpAG8AbgAuAFYAZQByAHMAaQBvAG4AIAA= -inputFormat xml",gc_worker.exe -a WindowsDefenderExploitGuard -c NonCompliant -s inguest -g https://eastus2-gas.guestconfiguration.azure.com/virtualMachines/834a8374-a5e8-436d-91db-416d47cedad2,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe
"Sep 15, 2026 12:36:32 AM",system,sql-labuser,conhost.exe 0xffffffff -ForceV1,gc_worker.exe -a WindowsDefenderExploitGuard -c NonCompliant -s inguest -g https://eastus2-gas.guestconfiguration.azure.com/virtualMachines/834a8374-a5e8-436d-91db-416d47cedad2,C:\Windows\System32\conhost.exe,conhost.exe
"Sep 15, 2026 12:36:32 AM",system,sql-labuser,gc_worker.exe -a WindowsDefenderExploitGuard -c NonCompliant -s inguest -g https://eastus2-gas.guestconfiguration.azure.com/virtualMachines/834a8374-a5e8-436d-91db-416d47cedad2,"""gc_service.exe"" -k netsvcs",C:\Packages\Plugins\Microsoft.GuestConfiguration.ConfigurationforWindows\1.29.116.0\dsc\GC\gc_worker.exe,gc_worker.exe
"Sep 15, 2026 12:36:09 AM",system,sql-labuser,conhost.exe 0xffffffff -ForceV1,gc_worker.exe -a AzureWindowsVMEncryptionCompliance -c NonCompliant -s inguest -g https://eastus2-gas.guestconfiguration.azure.com/virtualMachines/834a8374-a5e8-436d-91db-416d47cedad2,C:\Windows\System32\conhost.exe,conhost.exe
"Sep 15, 2026 12:36:09 AM",system,sql-labuser,gc_worker.exe -a AzureWindowsVMEncryptionCompliance -c NonCompliant -s inguest -g https://eastus2-gas.guestconfiguration.azure.com/virtualMachines/834a8374-a5e8-436d-91db-416d47cedad2,"""gc_service.exe"" -k netsvcs",C:\Packages\Plugins\Microsoft.GuestConfiguration.ConfigurationforWindows\1.29.116.0\dsc\GC\gc_worker.exe,gc_worker.exe
"Sep 15, 2026 12:35:53 AM",system,sql-labuser,conhost.exe 0xffffffff -ForceV1,gc_worker.exe -a AuditSecureProtocol -c NonCompliant -s inguest -g https://eastus2-gas.guestconfiguration.azure.com/virtualMachines/834a8374-a5e8-436d-91db-416d47cedad2,C:\Windows\System32\conhost.exe,conhost.exe
"Sep 15, 2026 12:35:53 AM",system,sql-labuser,gc_worker.exe -a AuditSecureProtocol -c NonCompliant -s inguest -g https://eastus2-gas.guestconfiguration.azure.com/virtualMachines/834a8374-a5e8-436d-91db-416d47cedad2,"""gc_service.exe"" -k netsvcs",C:\Packages\Plugins\Microsoft.GuestConfiguration.ConfigurationforWindows\1.29.116.0\dsc\GC\gc_worker.exe,gc_worker.exe
"Sep 15, 2026 12:35:47 AM",system,sql-labuser,"secedit.exe /export /cfg ""C:\Windows\system32\config\systemprofile\AppData\Local\AzureSecurityPack\secedit.inf""",gc_worker.exe -a AzureWindowsBaseline -c Compliant -s inguest -g https://eastus2-gas.guestconfiguration.azure.com/virtualMachines/834a8374-a5e8-436d-91db-416d47cedad2,C:\Windows\System32\SecEdit.exe,SecEdit.exe
"Sep 15, 2026 12:35:39 AM",system,sql-labuser,"secedit.exe /export /cfg ""C:\Windows\system32\config\systemprofile\AppData\Local\AzureSecurityPack\secedit.inf""",gc_worker.exe -a AzureWindowsBaseline -c Compliant -s inguest -g https://eastus2-gas.guestconfiguration.azure.com/virtualMachines/834a8374-a5e8-436d-91db-416d47cedad2,C:\Windows\System32\SecEdit.exe,SecEdit.exe
"Sep 15, 2026 12:35:35 AM",system,sql-labuser,conhost.exe 0xffffffff -ForceV1,gc_worker.exe -a AzureWindowsBaseline -c Compliant -s inguest -g https://eastus2-gas.guestconfiguration.azure.com/virtualMachines/834a8374-a5e8-436d-91db-416d47cedad2,C:\Windows\System32\conhost.exe,conhost.exe
"Sep 15, 2026 12:35:35 AM",system,sql-labuser,gc_worker.exe -a AzureWindowsBaseline -c Compliant -s inguest -g https://eastus2-gas.guestconfiguration.azure.com/virtualMachines/834a8374-a5e8-436d-91db-416d47cedad2,"""gc_service.exe"" -k netsvcs",C:\Packages\Plugins\Microsoft.GuestConfiguration.ConfigurationforWindows\1.29.116.0\dsc\GC\gc_worker.exe,gc_worker.exe
"Sep 15, 2026 12:35:09 AM",system,sql-labuser,cmd.exe,"""CollectGuestLogs.exe"" -Mode:ga -FileName:C:\WindowsAzure\CollectGuestLogsTemp\VMAgentLogs.zip",C:\Windows\System32\cmd.exe,cmd.exe
"Sep 15, 2026 12:34:57 AM",system,sql-labuser,conhost.exe 0xffffffff -ForceV1,"""CollectGuestLogs.exe"" -Mode:ga -FileName:C:\WindowsAzure\CollectGuestLogsTemp\VMAgentLogs.zip",C:\Windows\System32\conhost.exe,conhost.exe
"Sep 15, 2026 12:34:57 AM",system,sql-labuser,"""CollectGuestLogs.exe"" -Mode:ga -FileName:C:\WindowsAzure\CollectGuestLogsTemp\VMAgentLogs.zip",WaAppAgent.exe,C:\WindowsAzure\Packages\CollectGuestLogs.exe,CollectGuestLogs.exe
"Sep 15, 2026 12:34:56 AM",system,sql-labuser,conhost.exe 0xffffffff -ForceV1,"""FindVolume.exe"" /label ""Temporary Storage""",C:\Windows\System32\conhost.exe,conhost.exe
"Sep 15, 2026 12:34:56 AM",system,sql-labuser,"""FindVolume.exe"" /label ""Temporary Storage""",WaAppAgent.exe,C:\WindowsAzure\Packages\FindVolume\FindVolume.exe,FindVolume.exe
"Sep 15, 2026 12:33:18 AM",network service,sql-labuser,sppsvc.exe,services.exe,C:\Windows\System32\sppsvc.exe,sppsvc.exe
"Sep 15, 2026 12:33:11 AM",system,sql-labuser,conhost.exe 0xffffffff -ForceV1,BfeToolWin8.exe,C:\Windows\System32\conhost.exe,conhost.exe
"Sep 15, 2026 12:33:11 AM",system,sql-labuser,BfeToolWin8.exe,WindowsAzureGuestAgent.exe,C:\WindowsAzure\Packages\BfeToolWin8.exe,BfeToolWin8.exe
"Sep 15, 2026 12:32:49 AM",system,sql-labuser,conhost.exe 0xffffffff -ForceV1,sdbinst.exe -m -bg,C:\Windows\System32\conhost.exe,conhost.exe
