TimeGenerated,InitiatingProcessAccountName,InitiatingProcessCommandLine,RegistryKey,RegistryValueName,RegistryValueData,DeviceName
"Sep 15, 2026 1:01:06 AM",system,AggregatorHost.exe,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Control\CI\WhqlOnlyEvaluation,SystemUptimeTimestamp,89338280000,sql-labuser
"Sep 15, 2026 1:01:06 AM",system,AggregatorHost.exe,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Control\CI\WhqlOnlyEvaluation,SystemUptime,5934906690000,sql-labuser
"Sep 15, 2026 1:01:05 AM",system,winlogon.exe,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon,LastLogOffEndTimePerfCounter,89328789311,sql-labuser
"Sep 15, 2026 12:33:20 AM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\25000004,Element,,sql-labuser
"Sep 15, 2026 12:33:20 AM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\25000004,,,sql-labuser
"Sep 15, 2026 12:33:20 AM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\24000001,Element,{9dea862c-5cdd-4e70-acc1-f32b344d4795},sql-labuser
"Sep 15, 2026 12:33:20 AM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements\24000001,,,sql-labuser
"Sep 15, 2026 12:33:20 AM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Elements,,,sql-labuser
"Sep 15, 2026 12:33:20 AM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Description,Type,269484033,sql-labuser
"Sep 15, 2026 12:33:20 AM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba}\Description,,,sql-labuser
"Sep 15, 2026 12:33:20 AM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{a5a30fa2-3d06-4e9f-b5f4-a01df9d1fcba},,,sql-labuser
"Sep 15, 2026 12:33:20 AM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 15, 2026 12:33:20 AM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 15, 2026 12:33:20 AM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 15, 2026 12:33:20 AM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 15, 2026 12:33:20 AM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 15, 2026 12:33:20 AM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{0c5b8103-93d0-11f1-8f67-806e6f6e6963}\Elements\11000001,Element,,sql-labuser
"Sep 15, 2026 12:33:20 AM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{0c5b8103-93d0-11f1-8f67-806e6f6e6963}\Elements\11000001,,,sql-labuser
"Sep 15, 2026 12:33:20 AM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 15, 2026 12:33:20 AM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{9dea862c-5cdd-4e70-acc1-f32b344d4795}\Elements\12000002,Element,\EFI\Microsoft\Boot\bootmgfw.efi,sql-labuser
"Sep 15, 2026 12:33:20 AM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{9dea862c-5cdd-4e70-acc1-f32b344d4795}\Elements\12000002,,,sql-labuser
"Sep 15, 2026 12:33:20 AM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
"Sep 15, 2026 12:33:20 AM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{9dea862c-5cdd-4e70-acc1-f32b344d4795}\Elements\11000001,Element,,sql-labuser
"Sep 15, 2026 12:33:20 AM",network service,wmiprvse.exe -secured -Embedding,HKEY_LOCAL_MACHINE\BCD00000000\Objects\{9dea862c-5cdd-4e70-acc1-f32b344d4795}\Elements\11000001,,,sql-labuser
"Sep 15, 2026 12:33:20 AM",network service,wmiprvse.exe -secured -Embedding,,,,sql-labuser
