TimeGenerated,DeviceName,Username,IpAddress,ActionType,RawData
"Sep 13, 2026 11:12:14 PM",sql-labuser,root,localhost,LogonFailure,2026-09-14T06:12:13.968384Z    10 Connect Access denied for user 'root'@'localhost' (using password: NO)
"Sep 13, 2026 11:12:09 PM",sql-labuser,root,localhost,LogonFailure,2026-09-14T06:12:09.367986Z     9 Connect Access denied for user 'root'@'localhost' (using password: NO)
"Sep 13, 2026 11:11:51 PM",sql-labuser,root,localhost,LogonFailure,2026-09-14T06:11:51.150540Z     8 Connect Access denied for user 'root'@'localhost' (using password: NO)
"Sep 12, 2026 1:52:47 AM",sql-labuser,root,localhost,LogonFailure,2026-09-12T08:52:47.730444Z     8 Connect Access denied for user 'root'@'localhost' (using password: NO)
"Sep 11, 2026 9:27:46 PM",sql-labuser,root,localhost,LogonSuccess,2026-09-12T04:27:46.181282Z    15 Connect root@localhost on  using SSL/TLS
"Sep 11, 2026 9:27:37 PM",sql-labuser,root,localhost,LogonFailure,2026-09-12T04:27:37.603790Z    14 Connect Access denied for user 'root'@'localhost' (using password: NO)
"Sep 11, 2026 8:45:46 PM",sql-labuser,root,localhost,LogonFailure,2026-09-12T03:45:46.471792Z    11 Connect Access denied for user 'root'@'localhost' (using password: NO)
"Sep 11, 2026 8:45:13 PM",sql-labuser,root,localhost,LogonFailure,2026-09-12T03:45:13.273053Z     8 Connect Access denied for user 'root'@'localhost' (using password: NO)
"Sep 8, 2026 2:02:24 PM",sql-labuser,root,localhost,LogonFailure,2026-09-08T21:02:24.059031Z     8 Connect Access denied for user 'root'@'localhost' (using password: NO)
"Sep 7, 2026 11:12:20 PM",sql-labuser,root,localhost,LogonFailure,2026-09-08T06:12:20.668335Z     8 Connect Access denied for user 'root'@'localhost' (using password: NO)
"Sep 7, 2026 9:37:52 PM",sql-labuser,BACKGROUND,,LogonSuccess,"2026-09-08T04:37:52.799688Z    11 Query SELECT t.PROCESSLIST_ID,IF (NAME = 'thread/sql/event_scheduler','event_scheduler',t.PROCESSLIST_USER) PROCESSLIST_USER,t.PROCESSLIST_HOST,t.PROCESSLIST_DB,t.PROCESSLIST_COMMAND,t.PROCESSLIST_TIME,t.PROCESSLIST_STATE,t.THREAD_ID,t.TYPE,t.NAME,t.PARENT_THREAD_ID,t.INSTRUMENTED,t.PROCESSLIST_INFO,a.ATTR_VALUE FROM performance_schema.threads t  LEFT OUTER JOIN performance_schema.session_connect_attrs a ON t.processlist_id = a.processlist_id AND (a.attr_name IS NULL OR a.attr_name = 'program_name') WHERE t.TYPE <> 'BACKGROUND'"
"Sep 7, 2026 9:35:34 PM",sql-labuser,root,localhost,LogonFailure,2026-09-08T04:35:34.167807Z     8 Connect Access denied for user 'root'@'localhost' (using password: NO)
"Sep 6, 2026 11:52:59 PM",sql-labuser,root,localhost,LogonFailure,2026-09-07T06:52:59.571921Z    10 Connect Access denied for user 'root'@'localhost' (using password: NO)
"Sep 6, 2026 11:52:50 PM",sql-labuser,root,localhost,LogonFailure,2026-09-07T06:52:50.147413Z     9 Connect Access denied for user 'root'@'localhost' (using password: YES)
"Sep 6, 2026 11:52:35 PM",sql-labuser,root,localhost,LogonFailure,2026-09-07T06:52:35.130515Z     8 Connect Access denied for user 'root'@'localhost' (using password: NO)
"Sep 4, 2026 8:22:35 PM",sql-labuser,root,localhost,LogonFailure,2026-09-05T03:22:35.062338Z     8 Connect Access denied for user 'root'@'localhost' (using password: NO)
"Sep 4, 2026 6:29:38 PM",sql-labuser,root,localhost,LogonFailure,2026-09-05T01:29:38.032166Z     8 Connect Access denied for user 'root'@'localhost' (using password: NO)
"Sep 3, 2026 1:20:07 PM",sql-labuser,root,localhost,LogonFailure,2026-09-03T20:19:37.690828Z     8 Connect Access denied for user 'root'@'localhost' (using password: NO)
"Sep 2, 2026 8:39:42 PM",sql-labuser,root,localhost,LogonFailure,2026-09-03T03:39:42.404358Z    32 Connect Access denied for user 'root'@'localhost' (using password: NO)
"Sep 2, 2026 8:37:52 PM",sql-labuser,root,localhost,LogonFailure,2026-09-03T03:37:52.552306Z    30 Connect Access denied for user 'root'@'localhost' (using password: NO)
"Sep 2, 2026 8:34:40 PM",sql-labuser,root,localhost,LogonFailure,2026-09-03T03:34:39.908620Z    24 Connect Access denied for user 'root'@'localhost' (using password: NO)
